"FirstNeg" "SecondNeg" "FirstPos" "SecondPos" "TotalMechs" "TotalNeg" "TotalPos" "FalseMech1" "FalseMech2" "FalseMech3" "FalseMech4" "exRf$y"
"170" 2 12 181 0 47 13 1 0 2 4 0 "-1"
"171" 9 13 62 0 42 12 1 1 3 11 0 "-1"
"172" 13 18 0 0 13 5 0 0 1 0 0 "1"
"173" 9 15 14 10 13 2 2 0 3 10 11 "1"
"174" 11 104 137 0 12 3 1 2 9 1 0 "1"
"175" 8 79 20 0 13 2 1 0 10 8 0 "1"
"176" 8 18 7 0 13 3 1 2 4 11 0 "1"
"177" 0 0 0 0 13 0 0 0 0 0 0 "1"
"178" 0 0 0 0 13 0 0 0 0 0 0 "1"
"179" 12 34 92 0 13 2 1 2 7 0 0 "1"
"180" 10 11 189 106 50 13 5 4 5 0 9 "-1"
"181" 6 13 194 54 49 13 2 0 2 0 22 "-1"
"182" 17 27 119 70 48 10 3 4 10 7 19 "1"
"183" 2 6 192 159 64 23 4 0 4 0 15 "-1"
"184" 2 5 191 159 40 12 3 0 1 0 2 "-1"
"185" 12 14 73 0 54 12 1 3 5 17 0 "-1"
"186" 2 10 131 67 46 11 2 0 1 11 19 "-1"
"187" 4 6 71 70 58 13 4 1 3 23 24 "-1"
"188" 44 144 161 86 13 3 2 1 9 1 8 "1"
"189" 9 188 11 0 12 2 1 0 11 9 0 "1"
"190" 7 93 133 0 12 2 1 1 10 0 0 "1"
"191" 10 NA 6 0 11 1 1 2 0 10 0 "1"
"192" 6 119 160 15 16 2 3 1 12 0 12 "1"
"193" 9 85 22 0 12 3 1 1 9 7 0 "1"
"194" 2 7 186 100 17 3 3 0 2 0 3 "1"
"195" 15 NA 11 10 14 1 2 4 0 12 13 "1"
"196" 2 17 115 0 13 2 1 0 4 0 0 "1"
"197" 5 6 193 145 64 22 5 3 4 0 17 "-1"
"198" 1 12 80 0 40 15 1 0 2 10 0 "-1"
"199" 1 10 141 90 62 15 6 0 8 6 15 "1"
"200" 1 2 153 147 58 14 7 0 1 5 8 "-1"
"201" 6 7 118 44 55 15 4 4 5 4 23 "1"
"202" 1 6 102 51 57 15 4 0 4 11 21 "-1"
"203" 1 2 163 133 67 18 8 0 1 3 7 "-1"
"204" 2 6 162 118 46 16 5 0 2 4 7 "1"
"205" 6 18 182 109 47 9 6 4 12 0 7 "1"
"206" 5 14 129 110 35 11 2 3 8 4 5 "1"
"207" 1 4 148 128 73 18 6 0 2 5 7 "-1"
"208" 4 14 55 35 35 9 5 0 2 15 24 "1"
"209" 1 2 167 124 66 24 5 0 1 0 9 "-1"
"210" 12 15 35 0 47 13 1 8 10 19 0 "1"
"211" 1 3 99 70 66 18 5 0 2 8 14 "-1"
"212" 3 4 148 113 106 25 9 2 3 20 27 "-1"
"213" 1 2 164 150 64 17 8 0 1 0 2 "-1"
"214" 2 3 107 11 52 16 3 1 2 8 43 "1"
"215" 1 2 137 76 65 22 4 0 1 4 15 "-1"
"216" 2 4 186 118 50 11 6 1 3 0 3 "1"
"217" 1 6 145 68 74 21 4 0 4 11 25 "-1"
"218" 1 4 135 119 63 19 6 0 3 0 4 "1"
"219" 1 3 122 106 63 19 7 0 2 4 7 "1"
"220" 1 7 162 155 51 18 5 0 3 0 1 "-1"
"221" 9 10 36 26 39 7 2 5 6 15 18 "1"
"222" 1 10 103 4 50 15 2 0 4 9 48 "-1"
"223" 1 4 98 52 59 18 3 0 2 7 17 "-1"
"224" 1 4 166 138 106 31 9 0 3 11 22 "-1"
"225" 1 6 126 106 59 17 4 0 4 3 7 "-1"
"226" 2 6 175 120 105 27 9 1 4 6 22 "-1"
"227" 1 7 161 124 61 19 5 0 4 2 8 "-1"
"228" 1 5 177 129 65 18 6 0 4 0 5 "-1"
"229" 6 9 153 105 47 12 5 3 5 1 7 "1"
"230" 1 3 170 87 66 18 4 0 2 0 12 "-1"
"231" 1 2 126 73 66 17 5 0 1 5 16 "-1"
"232" 1 2 77 60 66 18 3 0 1 13 22 "-1"
"233" 23 47 161 147 45 4 8 16 27 0 1 "1"
"234" 1 21 121 105 60 19 6 0 16 4 8 "1"
"235" 5 8 127 33 43 12 2 4 7 3 19 "1"
"236" 12 13 94 69 29 7 5 2 3 7 12 "1"
"237" 3 11 81 40 45 9 4 1 9 10 17 "1"
"238" 1 7 61 43 50 13 3 0 3 16 24 "-1"
"239" 1 3 69 44 39 8 4 0 1 8 13 "-1"
"240" 1 6 80 74 60 17 7 0 3 13 15 "-1"
"241" 1 6 57 29 65 15 3 0 4 25 43 "1"
"242" 4 11 174 81 57 13 2 2 9 4 20 "1"
"243" 2 7 101 56 51 15 4 1 4 7 17 "1"
"244" 5 11 137 44 54 12 3 4 10 5 20 "1"
"245" 5 18 120 106 58 13 7 4 12 12 14 "1"
"246" 4 10 134 129 56 16 2 2 6 7 10 "1"
"247" 20 23 53 26 24 3 3 4 5 12 16 "-1"
"248" 14 26 190 55 23 3 3 2 6 0 11 "-1"
"249" 0 0 0 0 17 0 0 0 0 0 0 "1"
"250" 4 8 147 97 56 14 4 3 7 3 11 "1"
"251" 8 11 116 43 57 15 6 5 7 10 26 "1"
"252" 5 23 20 0 32 8 1 2 9 23 0 "1"
"253" 1 8 135 88 55 9 5 0 5 4 10 "-1"
"254" 24 32 43 23 23 3 3 5 6 14 18 "-1"
"255" 5 6 162 132 79 18 8 3 4 8 16 "1"
"256" 4 6 130 109 49 11 5 2 4 3 5 "1"
"257" 8 17 141 64 36 9 2 6 10 2 10 "1"
"258" 1 8 65 46 45 8 4 0 5 9 16 "-1"
"259" 5 9 133 19 48 11 2 3 6 4 32 "1"
"260" 5 7 125 118 41 9 3 3 5 5 6 "1"
"261" 16 17 173 0 23 7 1 2 3 0 0 "-1"
"262" 15 22 75 23 22 7 2 1 4 7 16 "-1"
"263" 144 NA 33 0 51 1 1 44 0 31 0 "1"
"264" 0 0 0 0 58 0 0 0 0 0 0 "1"
"265" 7 8 157 103 71 13 8 2 3 7 24 "1"
"266" 7 8 105 20 52 14 3 4 5 4 35 "1"
"267" 1 19 149 129 47 8 7 0 12 1 3 "-1"
"268" 16 20 11 0 18 3 1 3 4 15 0 "-1"
"269" 1 9 135 115 70 19 7 0 4 18 25 "-1"
"270" 9 16 51 36 45 7 5 5 11 12 16 "1"
"271" 12 18 27 0 24 4 1 1 3 16 0 "-1"
"272" 21 22 52 38 24 4 3 2 3 11 15 "-1"
"273" 18 23 34 17 22 3 2 3 5 14 19 "-1"
"274" 18 170 17 0 23 2 1 4 20 19 0 "-1"
"275" 17 38 30 26 21 3 2 1 9 14 15 "-1"
"276" 0 0 0 0 17 0 0 0 0 0 0 "1"
"277" 44 NA 20 0 24 1 1 10 0 18 0 "1"
"278" 17 26 24 0 23 4 1 2 5 18 0 "-1"
"279" 1 10 132 104 70 17 7 0 9 6 13 "-1"
"280" 3 6 167 138 64 20 2 1 3 7 13 "1"
"281" 5 10 121 101 75 16 6 3 6 16 24 "1"
"282" 1 2 163 162 109 27 10 0 1 16 17 "-1"
"283" 1 5 104 79 55 13 7 0 2 10 14 "-1"
"284" 2 5 148 97 63 11 3 1 4 7 18 "1"
"285" 1 6 147 72 67 17 5 0 2 11 27 "-1"
"286" 1 5 158 153 78 18 9 0 4 12 15 "-1"
"287" 16 23 27 19 22 4 2 2 4 16 18 "-1"
"288" 17 32 28 19 22 3 2 3 6 16 17 "-1"
"289" 16 23 31 21 22 4 2 3 5 14 17 "-1"
"290" 15 19 28 20 21 2 2 2 3 14 16 "-1"
"291" 18 28 147 53 24 4 3 1 4 1 13 "-1"
"292" 20 26 61 34 22 2 3 4 5 13 15 "-1"
"293" 21 28 143 83 25 6 4 2 4 1 8 "-1"
"294" 16 19 47 37 22 4 2 0 1 13 15 "-1"
"295" 20 67 194 21 24 3 2 3 10 0 19 "-1"
"296" 3 7 165 164 101 26 9 2 5 17 18 "-1"
"297" 1 12 149 93 53 12 3 0 6 3 12 "1"
"298" 6 7 50 0 48 14 1 4 5 16 0 "-1"
"299" 2 3 60 0 48 19 1 0 1 19 0 "-1"
"300" 4 9 137 130 55 15 4 2 5 4 6 "1"
"301" 11 12 0 0 65 27 0 7 8 0 0 "-1"
"302" 5 6 94 0 60 20 1 3 4 16 0 "-1"
"303" 5 8 117 37 37 11 2 3 5 5 16 "1"
"304" 23 26 20 0 43 12 1 9 12 34 0 "-1"
"305" 6 7 0 0 37 14 0 4 5 0 0 "1"
"306" 15 17 70 54 58 15 2 7 8 23 27 "-1"
"307" 1 6 0 0 18 10 0 0 1 0 0 "1"
"308" 10 11 146 63 60 22 2 3 4 7 23 "-1"
"309" 4 12 0 0 52 18 0 2 7 0 0 "-1"
"310" 5 8 0 0 54 20 0 2 3 0 0 "-1"
"311" 5 10 159 72 60 20 2 1 4 5 26 "-1"
"312" 5 10 138 57 59 19 3 1 4 8 24 "-1"
"313" 7 8 0 0 46 16 0 4 5 0 0 "-1"
"314" 6 7 141 0 58 20 1 4 5 10 0 "1"
"315" 3 19 133 43 47 10 2 2 14 6 22 "1"
"316" 5 7 168 58 58 19 2 3 4 3 25 "-1"
"317" 6 8 105 62 61 22 3 3 4 12 23 "-1"
"318" 6 8 106 0 60 20 1 3 4 11 0 "-1"
"319" 11 14 33 31 41 13 2 5 7 25 27 "1"
"320" 9 14 39 0 39 12 1 5 9 12 0 "-1"
"321" 1 5 131 0 35 15 1 0 1 2 0 "-1"
"322" 7 14 17 15 50 14 2 4 8 38 40 "-1"
"323" 6 10 121 81 59 19 2 2 4 12 27 "-1"
"324" 8 9 175 0 59 23 1 4 5 2 0 "-1"
"325" 8 13 129 84 56 19 2 3 5 14 22 "-1"
"326" 9 11 161 35 48 15 2 4 5 3 27 "-1"
"327" 6 7 151 64 61 18 3 3 4 7 20 "1"
"328" 12 15 31 0 45 16 1 3 5 30 0 "-1"
"329" 6 7 0 0 54 19 0 2 3 0 0 "-1"
"330" 5 8 80 0 54 16 1 2 4 16 0 "-1"
"331" 5 11 0 0 54 19 0 3 5 0 0 "-1"
"332" 12 14 72 0 45 9 1 6 7 15 0 "1"
"333" 5 10 167 131 58 19 4 3 7 4 13 "1"
"334" 5 7 12 0 44 13 1 4 6 33 0 "1"
"335" 5 7 0 0 24 6 0 1 3 0 0 "1"
"336" 1 5 10 0 47 10 1 0 3 39 0 "1"
"337" 6 7 139 0 34 8 1 1 2 3 0 "1"
"338" 15 23 159 0 33 11 1 6 11 1 0 "-1"
"339" 18 24 145 0 45 14 1 8 11 5 0 "-1"
"340" 17 21 129 43 45 14 2 6 8 4 22 "-1"
"341" 10 15 156 25 45 11 2 2 6 3 33 "-1"
"342" 5 9 96 18 46 14 2 2 5 10 32 "1"
"343" 3 6 33 32 48 11 2 1 3 23 24 "1"
"344" 4 13 97 57 48 16 3 1 4 13 22 "-1"
"345" 5 6 97 29 41 16 2 3 4 11 21 "1"
"346" 3 NA 0 0 14 1 0 1 0 0 0 "1"
"347" 9 NA 0 0 11 1 0 1 0 0 0 "1"
"348" 55 NA 0 0 13 1 0 5 0 0 0 "1"
"349" 8 11 142 129 51 13 3 7 10 5 7 "1"
"350" 11 12 96 44 50 16 3 4 5 12 25 "-1"
"351" 4 6 25 0 30 10 1 2 3 13 0 "1"
"352" 11 17 94 18 49 14 2 3 8 11 39 "-1"
"353" 6 16 0 0 13 3 0 0 1 0 0 "1"
"354" 2 16 69 22 59 18 2 1 7 23 46 "-1"
"355" 12 22 78 9 42 9 2 7 13 10 37 "-1"
"356" 5 7 32 0 40 11 1 2 4 20 0 "1"
"357" 9 13 169 64 46 12 2 5 7 2 14 "1"
"358" 20 23 0 0 47 14 0 10 12 0 0 "-1"
"359" 1 5 100 0 43 12 1 0 2 10 0 "1"
"360" 1 4 0 0 14 5 0 0 1 0 0 "1"
"361" 1 2 0 0 13 5 0 0 1 0 0 "1"
"362" 19 NA 0 0 43 1 0 11 0 0 0 "1"
"363" 0 0 0 0 45 0 0 0 0 0 0 "1"
"364" 2 3 181 170 51 13 3 1 2 1 3 "1"
"365" 12 16 14 0 51 17 1 6 8 43 0 "-1"
"366" 8 12 128 60 45 10 3 5 8 5 17 "1"
"367" 0 0 0 0 10 0 0 0 0 0 0 "1"
"368" 11 14 148 90 39 14 3 3 4 5 13 "-1"
"369" 5 8 80 0 47 10 1 3 6 12 0 "1"
"370" 11 16 40 0 15 4 1 0 1 12 0 "1"
"371" 7 20 0 0 13 2 0 1 3 0 0 "1"
"372" 7 19 0 0 13 3 0 0 1 0 0 "1"
"373" 135 NA 0 0 13 1 0 10 0 0 0 "1"
"374" 6 73 0 0 13 2 0 0 6 0 0 "1"
"375" 0 0 0 0 12 0 0 0 0 0 0 "1"
"376" 0 0 0 0 12 0 0 0 0 0 0 "1"
"377" 10 NA 0 0 13 1 0 1 0 0 0 "1"
"378" 5 12 64 0 57 17 1 3 8 23 0 "-1"
"379" 3 10 162 21 41 12 2 2 6 2 25 "1"
"380" 1 4 157 33 49 13 2 0 1 4 31 "-1"
"381" 4 8 112 93 58 19 2 1 4 14 26 "-1"
"382" 4 6 177 134 41 11 2 1 2 1 6 "1"
"383" 5 10 105 0 47 14 1 3 7 6 0 "1"
"384" 6 11 109 87 36 10 4 1 3 7 8 "1"
"385" 10 12 131 65 57 14 4 6 8 7 17 "1"
"386" 3 7 0 0 14 3 0 0 1 0 0 "1"
"387" 12 128 0 0 13 2 0 0 8 0 0 "1"
"388" 6 NA 0 0 13 1 0 0 0 0 0 "1"
"389" 4 NA 0 0 12 1 0 0 0 0 0 "1"
