"first" "second" "0"
"250" 3 50 -0.0418973406817408
"251" 3 51 -0.00986970357041461
"252" 3 52 0
"253" 3 53 0
"254" 3 54 0
"255" 3 55 0
"256" 3 56 -0.16643845839766
"257" 3 57 -0.032314768666533
"258" 3 58 0
"259" 3 59 0
"260" 3 60 0
"261" 3 61 -0.0621924766181678
"262" 3 62 0
"263" 3 63 0
"264" 3 64 -0.00510451981743677
"265" 3 65 -0.0195992686755928
"266" 3 66 0
"267" 3 67 0
"268" 3 68 0
"269" 3 69 0
"270" 3 70 -0.0116441502129831
"271" 3 71 -0.0159090418997703
"272" 3 72 -0.0656126562911917
"273" 3 73 0
"274" 3 74 -0.00870333641317899
"275" 3 75 -0.054480460932363
"276" 3 76 -0.0401081841059868
"277" 3 77 -0.0298381796395974
"278" 3 78 -0.0544039742786476
"279" 3 79 0
"280" 3 80 0
"281" 3 81 -0.026259460576212
"282" 3 82 -0.29141651682135
"283" 3 83 0
"284" 3 84 0
"285" 3 85 -0.739618092820625
"286" 3 86 -0.0502060130227883
"287" 3 87 0
"288" 3 88 -0.0656208080719357
"289" 3 89 -0.206014576282197
"290" 3 90 -0.0520472977545955
"291" 3 91 -0.0453826789999264
"292" 3 92 -0.0209530766709194
"293" 3 93 -0.0366933151568623
"294" 3 94 -0.0543947774379676
"295" 3 95 -0.0387192979501871
"296" 3 96 -0.0585303250440496
"297" 3 97 -0.0528996776525484
"298" 3 98 -0.0317144431422011
"299" 3 99 -0.716550546002853
"300" 3 100 0
"301" 4 1 -0.103288222279805
"302" 4 2 -0.139428663421246
"303" 4 3 0
"304" 4 4 0
"305" 4 5 -0.122897453018308
"306" 4 6 -0.211130916177359
"307" 4 7 0
"308" 4 8 -0.0966895549230913
"309" 4 9 0
"310" 4 10 -0.0428536756563602
"311" 4 11 0
"312" 4 12 -0.0267643513257976
"313" 4 13 -0.197031510140416
"314" 4 14 -0.108125019359979
"315" 4 15 -0.562337127204833
"316" 4 16 -0.181313098914662
"317" 4 17 -0.114979689539158
"318" 4 18 0
"319" 4 19 0
"320" 4 20 -0.0634109794288836
"321" 4 21 -0.0061805651254699
"322" 4 22 -0.122846686562903
"323" 4 23 0
"324" 4 24 -0.0921417383945977
"325" 4 25 -0.111968499316048
"326" 4 26 -0.1569445277361
"327" 4 27 -0.559905843066924
"328" 4 28 -0.211129976710592
"329" 4 29 -0.563684512953058
"330" 4 30 -0.156936724314797
"331" 4 31 0
"332" 4 32 -0.186765623302458
"333" 4 33 -0.108125142753117
"334" 4 34 -0.108124517029439
"335" 4 35 -0.108116626428004
"336" 4 36 0
"337" 4 37 0
"338" 4 38 0
"339" 4 39 0
"340" 4 40 0
"341" 4 41 0
"342" 4 42 -0.0264946517559781
"343" 4 43 -0.180329262984236
"344" 4 44 -0.0445042189211493
"345" 4 45 -0.141914646260061
"346" 4 46 0
"347" 4 47 0
"348" 4 48 -0.102679739335899
"349" 4 49 0
"350" 4 50 0
"351" 4 51 0
"352" 4 52 0
"353" 4 53 0
"354" 4 54 -0.141923326297761
"355" 4 55 0
"356" 4 56 -0.133840200750627
"357" 4 57 0
"358" 4 58 -0.169056780841207
"359" 4 59 -0.0885540841388744
"360" 4 60 0
"361" 4 61 0
"362" 4 62 -0.124344127306789
"363" 4 63 0
"364" 4 64 0
"365" 4 65 0
"366" 4 66 0
"367" 4 67 0
"368" 4 68 0
"369" 4 69 -0.178072823143685
"370" 4 70 0
"371" 4 71 0
"372" 4 72 -0.0995521651264463
"373" 4 73 0
"374" 4 74 0
"375" 4 75 0
"376" 4 76 0
"377" 4 77 0
"378" 4 78 0
"379" 4 79 0
"380" 4 80 0
"381" 4 81 0
"382" 4 82 -0.213367716739879
"383" 4 83 0
"384" 4 84 -0.0926738885734855
"385" 4 85 -0.589530772415933
"386" 4 86 0
"387" 4 87 0
"388" 4 88 0
"389" 4 89 0
"390" 4 90 0
"391" 4 91 0
"392" 4 92 0
"393" 4 93 0
"394" 4 94 0
"395" 4 95 0
"396" 4 96 0
"397" 4 97 0
"398" 4 98 0
"399" 4 99 -0.568237095480188
"400" 4 100 -0.157184509146994
"401" 5 1 -0.094518073633892
"402" 5 2 -0.12836443215526
"403" 5 3 0
"404" 5 4 -0.120319916799272
"405" 5 5 0
"406" 5 6 -0.189586913871654
"407" 5 7 0
"408" 5 8 -0.0910284951402487
"409" 5 9 0
"410" 5 10 -0.162442776033246
"411" 5 11 0
"412" 5 12 -0.0243805901127703
"413" 5 13 -0.181803182663961
"414" 5 14 -0.0990138518598255
"415" 5 15 -0.526673494557211
"416" 5 16 -0.167048895898697
"417" 5 17 -0.105569621935268
"418" 5 18 0
"419" 5 19 0
"420" 5 20 -0.058874596984601
"421" 5 21 -0.00565563424507864
"422" 5 22 -0.110614186473901
"423" 5 23 0
"424" 5 24 -0.0798484602288972
"425" 5 25 -0.102509039737882
